parcel_id,latitude,longitude
"0003H00366000000","40.4302535312","-79.9856634323"
"0008F00118000000","40.4489952397","-80.0086545648"
"0083E00148000000","40.4685900314","-79.9286778854"
"0004S00006000000","40.4257212938","-80.0032970476"
"0051R00083000000","40.453142739","-79.9376494231"
"0029E00015000000","40.4284602373","-79.9662815451"
"0001H00030000000","40.4399201571","-80.0035680945"
"0052H00256000000","40.4488623839","-79.9354435001"
"0001N00240000000","40.4336988639","-80.0135803265"
"0126G00082000000","40.4481254582","-79.9060241524"
"0083F00112000000","40.4687399528","-79.9272015473"
"0049P00368000000","40.4626193491","-79.9597547241"
"0114P00160000000","40.4822994777","-80.0423463431"
"0086C00056000000","40.4408268364","-79.9240328162"
"0009K00275000000","40.4480653511","-79.9929001745"
"0050H00035000000","40.4676407001","-79.9356910049"
"0027H00078000000","40.448280121","-79.9520074267"
"0081H00330000000","40.477909938","-79.9363536503"
"0049J00227000000","40.4662210869","-79.9638318173"
"0086L00221000000","40.4364394737","-79.9231774709"
"0052C00303000000","40.4509109995","-79.9397636155"
"0013K00209000000","40.4166799151","-79.9772961825"
"0023E00142000000","40.4588006355","-80.0134247514"
"0083N00124000000","40.4637604719","-79.9295090369"
"0174P00099000000","40.4533114116","-79.892864932"
"0052S00154000000","40.4446978106","-79.9331139641"
"0051R00150000000","40.4546013544","-79.9393353302"
"0070E00185000000","40.4498994083","-80.0794308566"
"0036M00233000000","40.4069506117","-80.0336368489"
"0023M00012000000","40.4570531973","-80.0036108523"
"0003R00017000000","40.4243017519","-79.9871731655"
"0029C00132000000","40.4324217397","-79.9561710594"
"0028A00086000000","40.440798832","-79.9653702448"
"0081L00152000000","40.4767440106","-79.9378058728"
"0001C01662000000","40.4425902212","-80.0068400373"
"0009G00170000000","40.4486022823","-79.9903585214"
"0046A00263000000","40.4719995658","-80.0159284911"
"0012F00132000000","40.4288767374","-79.9777989061"
"0048P00173000000","40.4630819941","-79.9787348144"
"0095L00006000000","40.3895089834","-79.9875966995"
"0050M00273000000","40.4658697805","-79.9338568648"
"0014N00161000000","40.415909871","-79.9960774506"
"0002J00113000000","40.437604584","-79.9988991059"
"0095R00087000000","40.3864206521","-79.9893635708"
"0128A00010000000","40.4313866904","-79.9155217843"
"0055L00354000000","40.4187204837","-79.9402274352"
"0002E00038000000","40.4402043035","-79.9977149213"
"0070C00153000000","40.4516936942","-80.0710414999"
"0002K00004000000","40.4375457937","-79.9936400643"
"0025L00046000000","40.457435273","-79.972672848"
"0003S00010000000","40.4237567614","-79.9859630835"
"0002J00020000000","40.4377570324","-79.9958684161"
"0007C00004000000","40.452212783","-80.0243365489"
"0009N00008000000","40.4431837962","-79.9958002419"
"0019C00019000000","40.4425614279","-80.036951475"
"0127K00060000000","40.4359774935","-79.910214751"
"0039J00264000000","40.4276664606","-80.0635596723"
"0028B00310000000","40.4424544322","-79.9598453087"
"0024E00259000000","40.4592793646","-79.9956972422"
"0007M00002000000","40.4471356653","-80.0188378137"
"0009L00070000000","40.4462666247","-79.9908544833"
"0086S00240000000","40.4353583285","-79.9177422378"
"0044G00250000000","40.4676674232","-80.0391830421"
"0016B00076000000","40.4224483817","-80.0258653693"
"0028K00250000000","40.4370908505","-79.9619519007"
"0009D00068000000","40.4513092878","-79.984756839"
"0022L00289000000","40.455382248","-80.0222776401"
"0019A00105000000","40.441419863","-80.0456114859"
"0097B00118000000","40.3926516851","-80.0269570614"
"0002A00132000001","40.440934529","-79.9974757983"
"0126K00054000000","40.447546377","-79.9089545203"
"0009K00275000000","40.4480653511","-79.9929001745"
"0008S00109000000","40.4436543215","-80.0007431053"
"0041D00360000000","40.4517421345","-80.0481037545"
"0049G00177000000","40.4681353138","-79.9554182075"
"0063A00340000000","40.4022037474","-80.0456728697"
"0231S00128000000","40.453799137","-79.8688326292"
"0083J00177000000","40.4667197002","-79.9308507224"
"0012K00313000000","40.4263621575","-79.9752740237"
"0062S00105000000","40.3963434307","-80.0200425951"
"0051A00241000000","40.4614048375","-79.9463725557"
"0137E00102000000","40.3814741691","-79.9817746678"
"0004R00239000000","40.4244012739","-80.0046704204"
"0080N00160000000","40.473804333","-79.9634075028"
"0002M00070000000","40.4360938132","-79.9853753862"
"0051F00153000000","40.4584643385","-79.9423817698"
"0080K00090000000","40.4767268012","-79.9603895986"
"0029J00140000000","40.4271731068","-79.966442558"
"0029J00140000000","40.4271731068","-79.966442558"
"0019E00098000000","40.4402082609","-80.0460932116"
